File 0364_0.85_0.12.jpg: PSNR=14.07, SSIM=0.8432, time=0.0691s
File 0366_0.9_0.16.jpg: PSNR=18.16, SSIM=0.9043, time=0.0541s
File 0369_0.85_0.2.jpg: PSNR=17.22, SSIM=0.8443, time=0.0433s
File 0371_0.9_0.08.jpg: PSNR=19.65, SSIM=0.8976, time=0.0371s
File 0372_0.85_0.12.jpg: PSNR=19.85, SSIM=0.9376, time=0.0490s
File 0375_0.85_0.16.jpg: PSNR=19.40, SSIM=0.9326, time=0.0546s
File 0380_0.85_0.2.jpg: PSNR=19.20, SSIM=0.8400, time=0.0546s
File 0382_0.9_0.08.jpg: PSNR=21.65, SSIM=0.9311, time=0.0429s
File 0383_0.9_0.2.jpg: PSNR=20.86, SSIM=0.8926, time=0.0309s
File 0385_0.8_0.08.jpg: PSNR=16.40, SSIM=0.8766, time=0.0420s
File 0386_1_0.12.jpg: PSNR=22.09, SSIM=0.9030, time=0.0407s
File 0388_0.95_0.16.jpg: PSNR=18.86, SSIM=0.8669, time=0.0418s
File 0390_0.9_0.12.jpg: PSNR=20.20, SSIM=0.9454, time=0.0473s
File 0391_1_0.08.jpg: PSNR=14.49, SSIM=0.8675, time=0.0425s
File 0392_1_0.2.jpg: PSNR=16.68, SSIM=0.8756, time=0.0584s
File 0393_1_0.2.jpg: PSNR=15.86, SSIM=0.8581, time=0.0758s
File 0395_0.95_0.08.jpg: PSNR=21.58, SSIM=0.9209, time=0.0586s
